id,lat,long,type,site,code,region
28062,37.389076,-5.984443,Dressel 20,Sevilla,CAS,Hispalis
29612,37.389076,-5.984443,Dressel 20,Sevilla,LVAGAL,Hispalis
32342,37.389076,-5.984443,Dressel 20,San Luis (SE),ROM,Hispalis
32345,37.40505,-5.988554,Dressel 20,Parlamento,MAR,Hispalis
32346,37.40505,-5.988554,Dressel 20,Parlamento,MAR,Hispalis
32348,37.40505,-5.988554,Dressel 20,Parlamento,QCC,Hispalis
13460,37.526641,-5.914275,Dressel 20,Cruz Verde,PORPAH,Hispalis
13461,37.526641,-5.914275,Dressel 20,Cruz Verde,PORPAH,Hispalis
13462,37.526641,-5.914275,Dressel 20,Cruz Verde,PORPAH,Hispalis
11015,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11016,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11017,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11018,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11019,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11020,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11021,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
11044,37.536615,-5.900952,Dressel 20,Villar de Brenes,CFSCVFM,Hispalis
13305,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
13306,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
13432,37.536615,-5.900952,Dressel 20,Villar de Brenes,GAF,Hispalis
13440,37.536615,-5.900952,Dressel 20,Villar de Brenes,PORPAH,Hispalis
13441,37.536615,-5.900952,Dressel 20,Villar de Brenes,LFFV,Hispalis
13442,37.536615,-5.900952,Dressel 20,Villar de Brenes,LFFV,Hispalis
13448,37.536615,-5.900952,Dressel 20,Villar de Brenes,M,Hispalis
13140,37.581745,-5.669186,Dressel 20,Guadajoz,MSP,Hispalis
13141,37.581745,-5.669186,Dressel 20,Guadajoz,MSP,Hispalis
13610,37.581745,-5.669186,Dressel 20,Guadajoz,LSPBOEQ,Hispalis
13611,37.581745,-5.669186,Dressel 20,Guadajoz,LSPBOEQ,Hispalis
13613,37.581745,-5.669186,Dressel 20,Guadajoz,LERP,Hispalis
13128,37.583256,-5.658615,Dressel 20,Adelfa,LSPBOEQ,Hispalis
13615,37.583256,-5.658615,Dressel 20,Adelfa,LSPBOEQ,Hispalis
13616,37.583256,-5.658615,Dressel 20,Adelfa,LSPBOEQ,Hispalis
13617,37.583256,-5.658615,Dressel 20,Adelfa,LSPBOEQ,Hispalis
13619,37.583256,-5.658615,Dressel 20,Adelfa,TATILIASIATICI,Hispalis
13620,37.583256,-5.658615,Dressel 20,Adelfa,QAC,Hispalis
13621,37.583256,-5.658615,Dressel 20,Adelfa,ACHB,Hispalis
13622,37.583256,-5.658615,Dressel 20,Adelfa,GM,Hispalis
13623,37.583256,-5.658615,Dressel 20,Adelfa,ME,Hispalis
33371,37.583256,-5.658615,Dressel 20,Adelfa,LERPC,Hispalis
33373,37.583256,-5.658615,Dressel 20,Adelfa,CFS,Hispalis
33381,37.583256,-5.658615,Dressel 20,Adelfa,LSPBOEQ,Hispalis
13624,37.585268,-5.64988,Dressel 20,Juan Barba,TATILIASIATICI,Hispalis
13625,37.585268,-5.64988,Dressel 20,Juan Barba,TATILIASIATICI,Hispalis
13626,37.585268,-5.64988,Dressel 20,Juan Barba,LERPC,Hispalis
13627,37.585268,-5.64988,Dressel 20,Juan Barba,LERPC,Hispalis
10841,37.585951,-5.088429,Dressel 20,Las Delicias,CAMILISILVESTRI,Astigi
10849,37.585951,-5.088429,Dressel 20,Las Delicias,LIC,Astigi
10854,37.585951,-5.088429,Dressel 20,Las Delicias,FEL,Astigi
10855,37.585951,-5.088429,Dressel 20,Las Delicias,PSTVSC,Astigi
11051,37.585951,-5.088429,Dressel 20,Las Delicias,CAMILISILVESTRI,Astigi
11059,37.585951,-5.088429,Dressel 20,Las Delicias,PSTVSC,Astigi
11060,37.585951,-5.088429,Dressel 20,Las Delicias,LAF,Astigi
11063,37.585951,-5.088429,Dressel 20,Las Delicias,LFCCO,Astigi
12865,37.585951,-5.088429,Dressel 20,Las Delicias,PSTVSC,Astigi
12866,37.585951,-5.088429,Dressel 20,Las Delicias,LAF,Astigi
12869,37.585951,-5.088429,Dressel 20,Las Delicias,CAMILIMELISSI,Astigi
12878,37.585951,-5.088429,Dressel 20,Las Delicias,MEC,Astigi
12879,37.585951,-5.088429,Dressel 20,Las Delicias,MEC,Astigi
12882,37.585951,-5.088429,Dressel 20,Las Delicias,MAR,Astigi
38812,37.585951,-5.088429,Dressel 20,Las Delicias,FELIC,Astigi
38813,37.585951,-5.088429,Dressel 20,Las Delicias,FELIC,Astigi
38814,37.585951,-5.088429,Dressel 20,Las Delicias,FELIC,Astigi
38815,37.585951,-5.088429,Dressel 20,Las Delicias,FELIC,Astigi
38816,37.585951,-5.088429,Dressel 20,Las Delicias,FELIC,Astigi
38965,37.585951,-5.088429,Dressel 20,Las Delicias,CORBEL,Astigi
38966,37.585951,-5.088429,Dressel 20,Las Delicias,CORBEL,Astigi
13152,37.587337,-5.79237,Dressel 20,Los Villares,AVG,Hispalis
13604,37.587337,-5.79237,Dressel 20,Los Villares,PNN,Hispalis
13605,37.587337,-5.79237,Dressel 20,Los Villares,SISY,Hispalis
12525,37.588861,-5.626636,Dressel 20,Villar Tesoro,GAF,Hispalis
12794,37.588861,-5.626636,Dressel 20,Villar Tesoro,LIC,Hispalis
13124,37.588861,-5.626636,Dressel 20,Villar Tesoro,LMVE,Hispalis
13636,37.588861,-5.626636,Dressel 20,Villar Tesoro,LGG,Hispalis
13666,37.588861,-5.626636,Dressel 20,Villar Tesoro,LGG,Hispalis
13667,37.588861,-5.626636,Dressel 20,Villar Tesoro,CLMF,Hispalis
13668,37.588861,-5.626636,Dressel 20,Villar Tesoro,CLMF,Hispalis
13669,37.588861,-5.626636,Dressel 20,Villar Tesoro,LSPBOEQ,Hispalis
13094,37.605064,-5.619801,Dressel 20,Mejía,LMVE,Hispalis
13674,37.605064,-5.619801,Dressel 20,Mejía,LMVE,Hispalis
13675,37.612696,-5.60742,Dressel 20,Tostoneras,TATILIASIATICI,Hispalis
13677,37.612696,-5.60742,Dressel 20,Tostoneras,TATILIASIATICI,Hispalis
13680,37.612696,-5.60742,Dressel 20,Tostoneras,PNN,Hispalis
10868,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
10869,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
10870,37.614189,-5.115609,Dressel 20,Alcotrista,MFC,Astigi
10871,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
10873,37.614189,-5.115609,Dressel 20,Alcotrista,MFC,Astigi
10882,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
11064,37.614189,-5.115609,Dressel 20,Alcotrista,LFCCO,Astigi
11065,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
12313,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
12315,37.614189,-5.115609,Dressel 20,Alcotrista,FIGCEP,Astigi
12319,37.614189,-5.115609,Dressel 20,Alcotrista,LAGER,Astigi
12322,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
12327,37.614189,-5.115609,Dressel 20,Alcotrista,CFS,Astigi
12328,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
12329,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
12336,37.614189,-5.115609,Dressel 20,Alcotrista,AC,Astigi
12338,37.614189,-5.115609,Dressel 20,Alcotrista,CAS,Astigi
12346,37.614189,-5.115609,Dressel 20,Alcotrista,LFC,Astigi
12850,37.614189,-5.115609,Dressel 20,Alcotrista,PSTVSC,Astigi
12852,37.614189,-5.115609,Dressel 20,Alcotrista,CAS,Astigi
13107,37.61618,-5.644928,Dressel 20,El Tejarillo,DEF,Hispalis
13108,37.61618,-5.644928,Dressel 20,El Tejarillo,DEF,Hispalis
13109,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13110,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13228,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13229,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13230,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13231,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13232,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13233,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13469,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13470,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13471,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13472,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13473,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13474,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13475,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13476,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13477,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13478,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13479,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13492,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13493,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13494,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13495,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13496,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13497,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13498,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13499,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13500,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13501,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13502,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13503,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13504,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13505,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13506,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13507,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13508,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13509,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13510,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13511,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13512,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13513,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13514,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13515,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13516,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13517,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13518,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13519,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13520,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13521,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13522,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13523,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13524,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13525,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13526,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13527,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13528,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13529,37.61618,-5.644928,Dressel 20,El Tejarillo,PNNF,Hispalis
13537,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13538,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13539,37.61618,-5.644928,Dressel 20,El Tejarillo,CLMF,Hispalis
13558,37.61618,-5.644928,Dressel 20,El Tejarillo,DFF,Hispalis
13560,37.61618,-5.644928,Dressel 20,El Tejarillo,DFF,Hispalis
13561,37.61618,-5.644928,Dressel 20,El Tejarillo,DFF,Hispalis
13562,37.61618,-5.644928,Dressel 20,El Tejarillo,DFF,Hispalis
13563,37.61618,-5.644928,Dressel 20,El Tejarillo,DFN,Hispalis
13564,37.61618,-5.644928,Dressel 20,El Tejarillo,DFN,Hispalis
13565,37.61618,-5.644928,Dressel 20,El Tejarillo,DFN,Hispalis
13566,37.61618,-5.644928,Dressel 20,El Tejarillo,DFN,Hispalis
13568,37.61618,-5.644928,Dressel 20,El Tejarillo,PNPHI,Hispalis
13570,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13571,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13572,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
13573,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
28200,37.61618,-5.644928,Dressel 20,El Tejarillo,PNN,Hispalis
12945,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,MAR,Hispalis
12946,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CAPF,Hispalis
12952,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13683,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13684,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13686,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,QFA,Hispalis
13687,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,QFRMAED,Hispalis
13688,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13689,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13690,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13691,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13692,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13693,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13694,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13695,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13696,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
13706,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CMM,Hispalis
13708,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,SAES,Hispalis
13709,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,MAEM,Hispalis
13710,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,MAEME,Hispalis
13712,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,MAEM,Hispalis
13714,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CAPF,Hispalis
13715,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CAPF,Hispalis
13716,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CAPF,Hispalis
13717,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CAPF,Hispalis
13718,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CAPF,Hispalis
13725,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,ACHB,Hispalis
13726,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,ACHB,Hispalis
13728,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,CORBEL,Hispalis
13731,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GAF,Hispalis
33345,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,GM,Hispalis
33355,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,QAEOPO,Hispalis
33360,37.617631,-5.556263,Dressel 20,Azanaque-Castillejo,QAEOPCO,Hispalis
13048,37.619781,-5.610765,Dressel 20,Peña de la Sal,MFC,Hispalis
10883,37.621484,-5.134134,Dressel 20,Isla del Castillo,MIM,Astigi
10884,37.621484,-5.134134,Dressel 20,Isla del Castillo,MIM,Astigi
10885,37.621484,-5.134134,Dressel 20,Isla del Castillo,MIM,Astigi
10886,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
10887,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
10888,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
10890,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
10893,37.621484,-5.134134,Dressel 20,Isla del Castillo,LFCCVFCAT,Astigi
10898,37.621484,-5.134134,Dressel 20,Isla del Castillo,LFCC,Astigi
10899,37.621484,-5.134134,Dressel 20,Isla del Castillo,LFCCV,Astigi
10902,37.621484,-5.134134,Dressel 20,Isla del Castillo,LFCCVFCAT,Astigi
10914,37.621484,-5.134134,Dressel 20,Isla del Castillo,LFCCVFCAT,Astigi
12386,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
12387,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
12388,37.621484,-5.134134,Dressel 20,Isla del Castillo,LAGER,Astigi
12845,37.621484,-5.134134,Dressel 20,Isla del Castillo,FEL,Astigi
12523,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
12658,37.623647,-5.604665,Dressel 20,Arva,DFN,Hispalis
12660,37.623647,-5.604665,Dressel 20,Arva,CMM,Hispalis
12962,37.623647,-5.604665,Dressel 20,Arva,QFRMAED,Hispalis
12971,37.623647,-5.604665,Dressel 20,Arva,SALS,Hispalis
12972,37.623647,-5.604665,Dressel 20,Arva,SALS,Hispalis
12975,37.623647,-5.604665,Dressel 20,Arva,MAEM,Hispalis
12978,37.623647,-5.604665,Dressel 20,Arva,LVAGAL,Hispalis
12995,37.623647,-5.604665,Dressel 20,Arva,STATI,Hispalis
13002,37.623647,-5.604665,Dressel 20,Arva,LGG,Hispalis
13003,37.623647,-5.604665,Dressel 20,Arva,LGG,Hispalis
13009,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13010,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13011,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13012,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13015,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13017,37.623647,-5.604665,Dressel 20,Arva,PNNF,Hispalis
13018,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13024,37.623647,-5.604665,Dressel 20,Arva,SISY,Hispalis
13031,37.623647,-5.604665,Dressel 20,Arva,PNNF,Hispalis
13032,37.623647,-5.604665,Dressel 20,Arva,PNNF,Hispalis
13033,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13034,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13035,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13036,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13037,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13041,37.623647,-5.604665,Dressel 20,Arva,MIM,Hispalis
13045,37.623647,-5.604665,Dressel 20,Arva,M,Hispalis
13058,37.623647,-5.604665,Dressel 20,Arva,MEC,Hispalis
13060,37.623647,-5.604665,Dressel 20,Arva,DEF,Hispalis
13061,37.623647,-5.604665,Dressel 20,Arva,DFF,Hispalis
13073,37.623647,-5.604665,Dressel 20,Arva,CAMILISILVESTRI,Hispalis
13078,37.623647,-5.604665,Dressel 20,Arva,QAC,Hispalis
13085,37.623647,-5.604665,Dressel 20,Arva,AC,Hispalis
13086,37.623647,-5.604665,Dressel 20,Arva,AC,Hispalis
13194,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13201,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13202,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13203,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13204,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13206,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13210,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13211,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
13218,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13220,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13222,37.623647,-5.604665,Dressel 20,Arva,AVG,Hispalis
13223,37.623647,-5.604665,Dressel 20,Arva,ME,Hispalis
13238,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
13465,37.623647,-5.604665,Dressel 20,Chorrillo,NIII,Hispalis
13577,37.623647,-5.604665,Dressel 20,Arva,QFA,Hispalis
13579,37.623647,-5.604665,Dressel 20,Arva,SAXOFERREO,Hispalis
13581,37.623647,-5.604665,Dressel 20,Arva,CAMILIMELISSI,Hispalis
13585,37.623647,-5.604665,Dressel 20,Arva,SALS,Hispalis
13593,37.623647,-5.604665,Dressel 20,Arva,LVAGAL,Hispalis
13598,37.623647,-5.604665,Dressel 20,Arva,LVTROPHIMI,Hispalis
13600,37.623647,-5.604665,Dressel 20,Arva,QFRMAED,Hispalis
13919,37.623647,-5.604665,Dressel 20,Arva,PNPHI,Hispalis
17701,37.623647,-5.604665,Dressel 20,Arva,LGG,Hispalis
17702,37.623647,-5.604665,Dressel 20,Arva,LGG,Hispalis
17752,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
17753,37.623647,-5.604665,Dressel 20,Arva,M,Hispalis
17754,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
17755,37.623647,-5.604665,Dressel 20,Arva,PNPHI,Hispalis
17756,37.623647,-5.604665,Dressel 20,Arva,QV,Hispalis
17757,37.623647,-5.604665,Dressel 20,Arva,SALS,Hispalis
17758,37.623647,-5.604665,Dressel 20,Arva,SISY,Hispalis
28190,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
28192,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
28209,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
28210,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
28212,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
28218,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
28226,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
9538,37.623647,-5.604665,Dressel 20,Arva,MAEME,Hispalis
9539,37.623647,-5.604665,Dressel 20,Arva,MAEME,Hispalis
9540,37.623647,-5.604665,Dressel 20,Arva,MAEME,Hispalis
9551,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
9552,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
9553,37.623647,-5.604665,Dressel 20,Arva,NIII,Hispalis
9555,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
9556,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
9557,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
9558,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
9559,37.623647,-5.604665,Dressel 20,Arva,PNN,Hispalis
9563,37.623647,-5.604665,Dressel 20,Arva,PNPHI,Hispalis
7176,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,GAVFL,Hispalis
7177,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,GAVFL,Hispalis
7178,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,GAVFL,Hispalis
7179,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,GAVFL,Hispalis
7180,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,ILFT,Hispalis
7181,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,ILFT,Hispalis
7182,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,LIT,Hispalis
7183,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,LIT,Hispalis
7184,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,LIT,Hispalis
7185,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,LIT,Hispalis
7186,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,LIT,Hispalis
7187,37.624007,-5.5309285,Dressel 20,Cortijo del Alamo Alto,MMRP,Hispalis
13734,37.624871,-5.550459,Dressel 20,El Judío,CAS,Astigi
13736,37.624871,-5.550459,Dressel 20,El Judío,QAEOPCO,Astigi
13737,37.624871,-5.550459,Dressel 20,El Judío,CAS,Astigi
13739,37.624871,-5.550459,Dressel 20,El Judío,CAPF,Astigi
12939,37.627358,-5.461938,Dressel 20,Lora la Vieja,LVTROPHIMI,Hispalis
13242,37.627358,-5.461938,Dressel 20,Lora la Vieja,LVTROPHIMI,Hispalis
11074,37.630839,-5.5105712,Dressel 20,Cortijo de los Mochales,POROCODV,Hispalis
11077,37.630839,-5.5105712,Dressel 20,Cortijo de los Mochales,POROODV,Hispalis
11208,37.630921,-5.452824,Dressel 20,El Marchante,NC,Hispalis
11209,37.630921,-5.452824,Dressel 20,El Marchante,LSELSENC,Hispalis
11210,37.630921,-5.452824,Dressel 20,El Marchante,LSELSENC,Hispalis
11211,37.630921,-5.452824,Dressel 20,El Marchante,LSELSENC,Hispalis
11212,37.630921,-5.452824,Dressel 20,El Marchante,LSELSENC,Hispalis
